InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Standard_D2s_v3,,,2.0,8,,0.12,0.0132,westeurope,"V1,V2"
Standard_D2s_v4,,,2.0,8,,0.115,0.012684,westeurope,"V1,V2"
Standard_D2s_v5,,,2.0,8,,0.115,0.01265,westeurope,"V1,V2"
Standard_D2_v2,,,2.0,7,,0.136,0.01496,westeurope,V1
Standard_D2_v2_Promo,,,2.0,7,,0.027,,westeurope,V1
Standard_D2_v3,,,2.0,8,,0.12,0.0132,westeurope,V1
Standard_D2_v4,,,2.0,8,,0.115,0.012684,westeurope,"V1,V2"
Standard_D2_v5,,,2.0,8,,0.115,0.01265,westeurope,"V1,V2"
Standard_D3,,,4.0,14,,0.336,0.03696,westeurope,V1
Standard_D32ads_v5,,,32.0,128,,3.472,0.22,westeurope,"V1,V2"
Standard_D32ads_v5,,,32.0,128,,2.0,0.22,westeurope,"V1,V2"
Standard_D32as_v4,,,32.0,128,,1.84,0.2024,westeurope,"V1,V2"
Standard_D32as_v5,,,32.0,128,,1.664,0.18304,westeurope,"V1,V2"
Standard_D32as_v5,,,32.0,128,,3.136,0.18304,westeurope,"V1,V2"
Standard_D32a_v4,,,32.0,128,,1.84,0.2024,westeurope,"V1,V2"
Standard_D32ds_v4,,,32.0,128,,2.176,0.240013,westeurope,"V1,V2"
Standard_D32ds_v5,,,32.0,128,,2.176,0.23936,westeurope,"V1,V2"
Standard_D32d_v4,,,32.0,128,,2.176,0.240013,westeurope,"V1,V2"
Standard_D32d_v5,,,32.0,128,,2.176,0.23936,westeurope,"V1,V2"
Standard_D32lds_v5,,,32.0,64,,1.776,0.19536,westeurope,"V1,V2"
Standard_D32ls_v5,,,32.0,64,,1.552,0.17072,westeurope,"V1,V2"
Standard_D32pds_v5,,,32.0,128,,1.744,0.19184,westeurope,V2
Standard_D32plds_v5,,,32.0,64,,1.424,0.168317,westeurope,V2
Standard_D32pls_v5,,,32.0,64,,1.242,0.146804,westeurope,V2
Standard_D32ps_v5,,,32.0,128,,1.472,0.16192,westeurope,V2
Standard_D32s_v3,,,32.0,128,,1.92,0.2112,westeurope,"V1,V2"
Standard_D32s_v4,,,32.0,128,,1.84,0.202952,westeurope,"V1,V2"
Standard_D32s_v5,,,32.0,128,,1.84,0.2024,westeurope,"V1,V2"
Standard_D32_v3,,,32.0,128,,1.92,0.2112,westeurope,V1
Standard_D32_v4,,,32.0,128,,1.84,0.202952,westeurope,"V1,V2"
Standard_D32_v5,,,32.0,128,,1.84,0.2024,westeurope,"V1,V2"
Standard_D3_v2,,,4.0,14,,0.272,0.02992,westeurope,V1
Standard_D3_v2_Promo,,,4.0,14,,0.054,,westeurope,V1
Standard_D4,,,8.0,28,,0.672,0.07392,westeurope,V1
Standard_D48ads_v5,,,48.0,192,,3.0,0.33,westeurope,"V1,V2"
Standard_D48ads_v5,,,48.0,192,,5.208,0.33,westeurope,"V1,V2"
Standard_D48as_v4,,,48.0,192,,2.76,0.3036,westeurope,"V1,V2"
Standard_D48as_v5,,,48.0,192,,2.496,0.27456,westeurope,"V1,V2"
Standard_D48as_v5,,,48.0,192,,4.704,0.27456,westeurope,"V1,V2"
Standard_D48a_v4,,,48.0,192,,2.76,0.3036,westeurope,"V1,V2"
Standard_D48ds_v4,,,48.0,192,,3.264,0.360019,westeurope,"V1,V2"
Standard_D48ds_v5,,,48.0,192,,3.264,0.35904,westeurope,"V1,V2"
Standard_D48d_v4,,,48.0,192,,3.264,0.360019,westeurope,"V1,V2"
Standard_D48d_v5,,,48.0,192,,3.264,0.35904,westeurope,"V1,V2"
Standard_D48lds_v5,,,48.0,96,,2.664,0.29304,westeurope,"V1,V2"
Standard_D48ls_v5,,,48.0,96,,2.328,0.25608,westeurope,"V1,V2"
Standard_D48pds_v5,,,48.0,192,,2.616,0.28776,westeurope,V2
Standard_D48plds_v5,,,48.0,96,,2.136,0.252475,westeurope,V2
Standard_D48pls_v5,,,48.0,96,,1.862,0.220088,westeurope,V2
Standard_D48ps_v5,,,48.0,192,,2.208,0.24288,westeurope,V2
Standard_D48s_v3,,,48.0,192,,2.88,0.3168,westeurope,"V1,V2"
Standard_D48s_v4,,,48.0,192,,2.76,0.304428,westeurope,"V1,V2"
Standard_D48s_v5,,,48.0,192,,2.76,0.3036,westeurope,"V1,V2"
Standard_D48_v3,,,48.0,192,,2.88,0.3168,westeurope,V1
Standard_D48_v4,,,48.0,192,,2.76,0.304428,westeurope,"V1,V2"
Standard_D48_v5,,,48.0,192,,2.76,0.3036,westeurope,"V1,V2"
Standard_D4ads_v5,,,4.0,16,,0.434,0.0275,westeurope,"V1,V2"
Standard_D4ads_v5,,,4.0,16,,0.25,0.0275,westeurope,"V1,V2"
Standard_D4as_v4,,,4.0,16,,0.23,0.0253,westeurope,"V1,V2"
Standard_D4as_v5,,,4.0,16,,0.392,0.02288,westeurope,"V1,V2"
Standard_D4as_v5,,,4.0,16,,0.208,0.02288,westeurope,"V1,V2"
Standard_D4a_v4,,,4.0,16,,0.23,0.0253,westeurope,"V1,V2"
Standard_D4ds_v4,,,4.0,16,,0.272,0.030002,westeurope,"V1,V2"
Standard_D4ds_v5,,,4.0,16,,0.272,0.02992,westeurope,"V1,V2"
Standard_D4d_v4,,,4.0,16,,0.272,0.030002,westeurope,"V1,V2"
Standard_D4d_v5,,,4.0,16,,0.272,0.02992,westeurope,"V1,V2"
Standard_D4lds_v5,,,4.0,8,,0.222,0.02442,westeurope,"V1,V2"
Standard_D4ls_v5,,,4.0,8,,0.194,0.02134,westeurope,"V1,V2"
Standard_D4pds_v5,,,4.0,16,,0.218,0.02398,westeurope,V2
Standard_D4plds_v5,,,4.0,8,,0.178,0.02104,westeurope,V2
Standard_D4pls_v5,,,4.0,8,,0.155,0.018321,westeurope,V2
Standard_D4ps_v5,,,4.0,16,,0.184,0.02024,westeurope,V2
Standard_D4s_v3,,,4.0,16,,0.24,0.0264,westeurope,"V1,V2"
Standard_D4s_v4,,,4.0,16,,0.23,0.025369,westeurope,"V1,V2"
Standard_D4s_v5,,,4.0,16,,0.23,0.0253,westeurope,"V1,V2"
Standard_D4_v2,,,8.0,28,,0.544,0.05984,westeurope,V1
Standard_D4_v2_Promo,,,8.0,28,,0.109,,westeurope,V1
Standard_D4_v3,,,4.0,16,,0.24,0.0264,westeurope,V1
Standard_D4_v4,,,4.0,16,,0.23,0.025369,westeurope,"V1,V2"
Standard_D4_v5,,,4.0,16,,0.23,0.0253,westeurope,"V1,V2"
Standard_D5_v2,,,16.0,56,,1.087,0.11957,westeurope,V1
Standard_D5_v2_Promo,,,16.0,56,,0.217,,westeurope,V1
Standard_D64ads_v5,,,64.0,256,,4.0,0.44,westeurope,"V1,V2"
Standard_D64ads_v5,,,64.0,256,,6.944,0.44,westeurope,"V1,V2"
Standard_D64as_v4,,,64.0,256,,3.68,0.4048,westeurope,"V1,V2"
Standard_D64as_v5,,,64.0,256,,6.272,0.36608,westeurope,"V1,V2"
Standard_D64as_v5,,,64.0,256,,3.328,0.36608,westeurope,"V1,V2"
Standard_D64a_v4,,,64.0,256,,3.68,0.4048,westeurope,"V1,V2"
Standard_D64ds_v4,,,64.0,256,,4.352,0.480026,westeurope,"V1,V2"
Standard_D64ds_v5,,,64.0,256,,4.352,0.47872,westeurope,"V1,V2"
Standard_D64d_v4,,,64.0,256,,4.352,0.480026,westeurope,"V1,V2"
Standard_D64d_v5,,,64.0,256,,4.352,0.47872,westeurope,"V1,V2"
Standard_D64lds_v5,,,64.0,128,,3.552,0.39072,westeurope,"V1,V2"
Standard_D64ls_v5,,,64.0,128,,3.104,0.34144,westeurope,"V1,V2"
Standard_D64pds_v5,,,64.0,208,,3.488,0.38368,westeurope,V2
Standard_D64plds_v5,,,64.0,128,,2.848,0.336634,westeurope,V2
Standard_D64pls_v5,,,64.0,128,,2.483,0.293491,westeurope,V2
Standard_D64ps_v5,,,64.0,208,,2.944,0.32384,westeurope,V2
Standard_D64s_v3,,,64.0,256,,3.84,0.4224,westeurope,"V1,V2"
Standard_D64s_v4,,,64.0,256,,3.68,0.405904,westeurope,"V1,V2"
Standard_D64s_v5,,,64.0,256,,3.68,0.4048,westeurope,"V1,V2"
Standard_D64_v3,,,64.0,256,,3.84,0.4224,westeurope,V1
Standard_D64_v4,,,64.0,256,,3.68,0.405904,westeurope,"V1,V2"
Standard_D64_v5,,,64.0,256,,3.68,0.4048,westeurope,"V1,V2"
Standard_D8ads_v5,,,8.0,32,,0.5,0.055,westeurope,"V1,V2"
Standard_D8ads_v5,,,8.0,32,,0.868,0.055,westeurope,"V1,V2"
Standard_D8as_v4,,,8.0,32,,0.46,0.0506,westeurope,"V1,V2"
Standard_D8as_v5,,,8.0,32,,0.784,0.04576,westeurope,"V1,V2"
Standard_D8as_v5,,,8.0,32,,0.416,0.04576,westeurope,"V1,V2"
Standard_D8a_v4,,,8.0,32,,0.46,0.0506,westeurope,"V1,V2"
Standard_D8ds_v4,,,8.0,32,,0.544,0.060003,westeurope,"V1,V2"
Standard_D8ds_v5,,,8.0,32,,0.544,0.05984,westeurope,"V1,V2"
Standard_D8d_v4,,,8.0,32,,0.544,0.060003,westeurope,"V1,V2"
Standard_D8d_v5,,,8.0,32,,0.544,0.05984,westeurope,"V1,V2"
Standard_D8lds_v5,,,8.0,16,,0.444,0.04884,westeurope,"V1,V2"
Standard_D8ls_v5,,,8.0,16,,0.388,0.04268,westeurope,"V1,V2"
Standard_D8pds_v5,,,8.0,32,,0.436,0.04796,westeurope,V2
Standard_D8plds_v5,,,8.0,16,,0.356,0.042079,westeurope,V2
Standard_D8pls_v5,,,8.0,16,,0.31,0.036642,westeurope,V2
Standard_D8ps_v5,,,8.0,32,,0.368,0.04048,westeurope,V2
Standard_D8s_v3,,,8.0,32,,0.48,0.0528,westeurope,"V1,V2"
Standard_D8s_v4,,,8.0,32,,0.46,0.050738,westeurope,"V1,V2"
Standard_D8s_v5,,,8.0,32,,0.46,0.0506,westeurope,"V1,V2"
Standard_D8_v3,,,8.0,32,,0.48,0.0528,westeurope,V1
Standard_D8_v4,,,8.0,32,,0.46,0.050738,westeurope,"V1,V2"
Standard_D8_v5,,,8.0,32,,0.46,0.0506,westeurope,"V1,V2"
Standard_D96ads_v5,,,96.0,384,,6.0,0.66,westeurope,"V1,V2"
Standard_D96ads_v5,,,96.0,384,,10.416,0.66,westeurope,"V1,V2"
Standard_D96as_v4,,,96.0,384,,5.52,0.6072,westeurope,"V1,V2"
Standard_D96as_v5,,,96.0,384,,4.992,0.54912,westeurope,"V1,V2"
Standard_D96as_v5,,,96.0,384,,9.408,0.54912,westeurope,"V1,V2"
Standard_D96a_v4,,,96.0,384,,5.52,0.6072,westeurope,"V1,V2"
Standard_D96ds_v5,,,96.0,384,,6.528,0.71808,westeurope,"V1,V2"
Standard_D96d_v5,,,96.0,384,,6.528,0.71808,westeurope,"V1,V2"
Standard_D96lds_v5,,,96.0,192,,5.328,0.58608,westeurope,"V1,V2"
Standard_D96ls_v5,,,96.0,192,,4.656,0.51216,westeurope,"V1,V2"
Standard_D96s_v5,,,96.0,384,,5.52,0.6072,westeurope,"V1,V2"
Standard_D96_v5,,,96.0,384,,5.52,0.6072,westeurope,"V1,V2"
Standard_DC16ads_cc_v5,,,16.0,64,,1.0,0.25,westeurope,V2
Standard_DC16ads_v5,,,16.0,64,,1.0,0.7,westeurope,"V1,V2"
Standard_DC16as_cc_v5,,,16.0,64,,0.832,0.208,westeurope,V2
Standard_DC16as_v5,,,16.0,64,,0.832,0.5824,westeurope,"V1,V2"
Standard_DC16ds_v3,,,16.0,128,,2.176,0.23936,westeurope,V2
Standard_DC16eds_v5,,,16.0,64,,1.088,0.272,westeurope,V2
Standard_DC16es_v5,,,16.0,64,,0.92,0.23,westeurope,V2
Standard_DC16s_v3,,,16.0,128,,1.84,0.2024,westeurope,V2
Standard_DC1ds_v3,,,1.0,8,,0.136,0.01496,westeurope,V2
Standard_DC1s_v2,,,1.0,4,,0.115,0.01265,westeurope,V2
Standard_DC1s_v3,,,1.0,8,,0.115,0.01265,westeurope,V2
Standard_DC24ds_v3,,,24.0,192,,3.264,0.35904,westeurope,V2
Standard_DC24s_v3,,,24.0,192,,2.76,0.3036,westeurope,V2
Standard_DC2ads_v5,,,2.0,8,,0.125,0.0875,westeurope,"V1,V2"
Standard_DC2as_v5,,,2.0,8,,0.104,0.0728,westeurope,"V1,V2"
Standard_DC2ds_v3,,,2.0,16,,0.272,0.02992,westeurope,V2
Standard_DC2eds_v5,,,2.0,8,,0.136,0.034,westeurope,V2
Standard_DC2es_v5,,,2.0,8,,0.115,0.02875,westeurope,V2
Standard_DC2s_v2,,,2.0,8,,0.23,0.0253,westeurope,V2
Standard_DC2s_v3,,,2.0,16,,0.23,0.0253,westeurope,V2
Standard_DC32ads_cc_v5,,,32.0,128,,2.0,0.5,westeurope,V2
Standard_DC32ads_v5,,,32.0,128,,2.0,1.4,westeurope,"V1,V2"
Standard_DC32as_cc_v5,,,32.0,128,,1.664,0.416,westeurope,V2
Standard_DC32as_v5,,,32.0,128,,1.664,1.1648,westeurope,"V1,V2"
Standard_DC32ds_v3,,,32.0,256,,4.352,0.47872,westeurope,V2
Standard_DC32eds_v5,,,32.0,128,,2.176,0.544,westeurope,V2
Standard_DC32es_v5,,,32.0,128,,1.84,0.46,westeurope,V2
Standard_DC32s_v3,,,32.0,256,,3.68,0.4048,westeurope,V2
Standard_DC48ads_cc_v5,,,48.0,192,,3.0,0.75,westeurope,V2
Standard_DC48ads_v5,,,48.0,192,,3.0,2.1,westeurope,"V1,V2"
Standard_DC48as_cc_v5,,,48.0,192,,2.496,0.624,westeurope,V2
Standard_DC48as_v5,,,48.0,192,,2.496,1.7472,westeurope,"V1,V2"
Standard_DC48ds_v3,,,48.0,384,,6.528,0.71808,westeurope,V2
Standard_DC48eds_v5,,,48.0,192,,3.264,0.816,westeurope,V2
Standard_DC48es_v5,,,48.0,192,,2.76,0.69,westeurope,V2
Standard_DC48s_v3,,,48.0,384,,5.52,0.6072,westeurope,V2
Standard_DC4ads_cc_v5,,,4.0,16,,0.25,0.0625,westeurope,V2
Standard_DC4ads_v5,,,4.0,16,,0.25,0.175,westeurope,"V1,V2"
Standard_DC4as_cc_v5,,,4.0,16,,0.208,0.052,westeurope,V2
Standard_DC4as_v5,,,4.0,16,,0.208,0.1456,westeurope,"V1,V2"
Standard_DC4ds_v3,,,4.0,32,,0.544,0.05984,westeurope,V2
Standard_DC4eds_v5,,,4.0,16,,0.272,0.068,westeurope,V2
Standard_DC4es_v5,,,4.0,16,,0.23,0.0575,westeurope,V2
Standard_DC4s_v2,,,4.0,16,,0.46,0.0506,westeurope,V2
Standard_DC4s_v3,,,4.0,32,,0.46,0.0506,westeurope,V2
Standard_DC64ads_cc_v5,,,64.0,256,,4.0,1.0,westeurope,V2
Standard_DC64ads_v5,,,64.0,256,,4.0,2.8,westeurope,"V1,V2"
Standard_DC64as_cc_v5,,,64.0,256,,3.328,0.832,westeurope,V2
Standard_DC64as_v5,,,64.0,256,,3.328,2.3296,westeurope,"V1,V2"
Standard_DC64eds_v5,,,64.0,256,,4.352,1.088,westeurope,V2
Standard_DC64es_v5,,,64.0,256,,3.68,0.92,westeurope,V2
Standard_DC8ads_cc_v5,,,8.0,32,,0.5,0.125,westeurope,V2
Standard_DC8ads_v5,,,8.0,32,,0.5,0.35,westeurope,"V1,V2"
Standard_DC8as_cc_v5,,,8.0,32,,0.416,0.104,westeurope,V2
Standard_DC8as_v5,,,8.0,32,,0.416,0.2912,westeurope,"V1,V2"
Standard_DC8ds_v3,,,8.0,64,,1.088,0.11968,westeurope,V2
Standard_DC8eds_v5,,,8.0,32,,0.544,0.136,westeurope,V2
Standard_DC8es_v5,,,8.0,32,,0.46,0.115,westeurope,V2
Standard_DC8s_v3,,,8.0,64,,0.92,0.1012,westeurope,V2
